Bee Number,Wing Length (in pixels),Abdmen length (in pixels)),Body length (in pixels)),Could you see pollen baskets?,Could you see the stinger ?,What did the wings look like?,Notes about be (e.g. was the head missing?)
275,649,445,1018,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
276,855,556,919,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,
276,859,535,1201,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
276,920,920,1063,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
277,775,620,1537,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,head was separated from body
277,750,918,1321,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The head was missing, it was detached from its body."
277,775,620,1537,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Head separated from body
277,754,545,1693,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,The head was in the picture but it was detached.
278,591,335,1883,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Deformed wings,
278,643,452,1092,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,
278,706,377,1128,"Yes, I saw pollen baskets","Yes, I saw the stinger",Normal wings,No
279,723,605,1125,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"It was severely shriveled compared to the bees I examined, its body was not as spread out and free."
279,896,384,1109,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,Very shriveled body; normal wings
279,942,534,534,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
280,1134,461,1267,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Part of the abdomen was missing
280,765,447,934,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
281,717,635,1165,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
281,818,571,1109,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
281,837,767,1274,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
282,770,621,1107,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,Its head was detached from the body 
282,412,523,984,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,none
283,830,593,1321,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
283,822,695,1138,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,n/a
283,841,835,1676,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,I think it was missing a leg or it was just hard to see
283,3182,2456,4856,Could not tell (back legs missing),"No, I did NOT see the stinger",Normal wings,
284,613,151,362,"No, I did NOT see pollen baskets","Yes, I saw the stinger",Normal wings,Bee was smaller than the other two of my bees.
284,780,861,1127,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,"The bee was in tact, but looked more shriveled up than the other bees."
284,646,509,1157,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,NA
285,804,717,1109,"Yes, I saw pollen baskets","No, I did NOT see the stinger",Normal wings,The wings looked normal however they did look like they were starting to become deformed. 
285,785,508,1021,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
285,831,617,1070,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
286,596,529,1072,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,there were these weird yellow straw looking things coming from its head
286,776,477,1202,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
287,752,801,1850,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
287,653,499,1157,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
287,674,563,1256,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
289,796,540,1883,"No, I did NOT see pollen baskets","No, I did NOT see the stinger",Normal wings,
